Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Average Steer,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,Total Exported N (lbs),Total Exported P (lbs),Total Exported K (lbs),Total Exported Salt (lbs),File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Total Reported N (lbs),Total Reported P (lbs),Total Reported K (lbs),Total Reported Salt (lbs),Unaccounted For N (lbs),Unaccounted For P (lbs),Unaccounted For K (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Estimated Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA N Estimate (lbs),UCCE N Estimate (lbs),Estimated Annual Milk Production (L),Estimated Wastewater Generation (L),Wastewater to Estimated Milk Ratio,Total Manure Generated (tons),Total Dry Manure Generated Salt (lbs),City,Region,Sub-Region,Year,County,State,Zip,Latitude,Longitude,Consultant,Template,Manure Factor Average,Manure Factor Standard Deviation,Wastewater Ratio Average,Wastewater Ratio Standard Deviation,USDA Nitrogen % Deviation Average,USDA Nitrogen % Deviation Standard Deviation,UCCE Nitrogen % Deviation Average,UCCE Nitrogen % Deviation Standard Deviation,Facility Count,CADDID,county_name
,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,260.0,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,300.0,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,527.0,,,527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,70.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,350.0,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,375.0,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,405.0,,,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,250.0,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,160.0,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,670.0,,,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
,,530.0,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2024_generic_r2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,2024,,,,,,Unknown,generic_r2,,,,,,,,,,,
