dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
Moreda Valley Dairy,. 3286 CHILENO VALLEY ROAD Petaluma 94952,450.0,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moreda_Valley_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nosecchi Dairy,5345 Bodega Ave Petaluma 94952,240.0,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nosecchi_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Riebll Dairy,295 Rainsville Rd Petaluma 94952,195.0,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim_Riebli_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolcini Jersey Dairy,10049 Petaluma Pt.Reys Road Nicasio,291.0,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolcini_Jersey_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Ranch,100 Pierce Point Rd Inverness 94937,120.0,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RJ_McClelland_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kehoe Dairy Inc,6150 Pierce Point Rd Inverness Ca 94937,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General CAF WDR Tier 2 Annual Report form - 11-2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaletta Ranch,837 Chileno Valley Rd Petaluma,660.0,,,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaletta_Ranch_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaletta Dairy,22000 Sir Francis Drake Blvd,250.0,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaletta_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley View Dairy,480 Pepper Rd Petaluma 94952,530.0,,,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valley_View_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS Family Dairy,4669 Chileno Valley Rd Petaluma,280.0,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JJs_Family_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Giacomini Dairy,14700 Hwy 1 Point Reyes CA 94956,520.0,,,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert_Giacomini_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royking Dairy,1241 Middle Two Rock Rd Petaluma,55.0,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roy_King_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLT RANCH,601 Stage Gulch Rd Petaluma,350.0,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLT_Ranch_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silacci Dairy,4349 Lakeville Hwy Petaluma 94954,275.0,,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silacci_Dairy_2223_AR.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
